,Unnamed: 0,num_page,text,width,height,area,chars,char_size,pos_x,pos_y,aspect,layout,x0,x1,y0,y1,assureur
87,87,2,38 ,0.0184873999999999,0.0095124999999999,0.0001758613924999,3,5.8620464166665984e-05,0.8697479,0.88347205,1.9434848883048703,h,0.8605042,0.8789916,0.87990487,0.8787158,axa-output-1-to-71
88,88,2,39 ,0.0201680599999999,0.00713436,0.0001438862005415,3,4.796206684719989e-05,0.86890757,0.90487512,2.826891269854607,h,0.85882354,0.8789916,0.90130794,0.90130794,axa-output-1-to-71
130,130,3,39 ,0.0184873999999999,0.0083234249999999,0.0001538784873449,3,5.129282911499978e-05,0.8697479,0.0909631375,2.221128922288594,h,0.8605042,0.8789916,0.086801425,0.086801425,axa-output-1-to-71
131,131,3,39 ,0.0184873999999999,0.0083234239999999,0.0001538784688575,3,5.129282295253312e-05,0.8697479,0.111177172,2.2211291891413847,h,0.8605042,0.8789916,0.10701546,0.10701546,axa-output-1-to-71
132,132,3,40 ,0.0168067299999999,0.00713436,0.0001199052622428,3,3.996842074760002e-05,0.868907565,0.13198573,2.355744593768744,h,0.8605042,0.87731093,0.12841855,0.12841855,axa-output-1-to-71
133,133,3,40 ,0.0168067299999999,0.00832341,0.0001398893045492,3,4.662976818309999e-05,0.868907565,0.152794295,2.0192120777421736,h,0.8605042,0.87731093,0.14863259,0.14863259,axa-output-1-to-71
134,134,3,40 ,0.0168067299999999,0.00832341,0.0001398893045492,3,4.662976818309999e-05,0.868907565,0.1741973849999999,2.0192120777421736,h,0.8605042,0.87731093,0.17003568,0.17003568,axa-output-1-to-71
135,135,3,.41 ,0.0184873899999999,0.0071343699999999,0.0001318958805942,4,3.297397014857486e-05,0.868067235,0.195005945,2.5913135988181244,h,0.85882354,0.87731093,0.19143876,0.19143876,axa-output-1-to-71
136,136,3,42 ,0.0184873899999999,0.00713437,0.0001318958805942,3,4.396529353143332e-05,0.868067235,0.216409035,2.591313598818114,h,0.85882354,0.87731093,0.21284185,0.21284185,axa-output-1-to-71
137,137,3,42 ,0.0201680599999999,0.00832341,0.0001678670322845,3,5.595567742819984e-05,0.86890757,0.237217595,2.42305257100154,h,0.85882354,0.8789916,0.23305589,0.23305589,axa-output-1-to-71
138,138,3,43 ,0.0168067299999999,0.0071343799999999,0.0001199055983773,3,3.996853279246663e-05,0.868907565,0.25802615,2.3557379898463497,h,0.8605042,0.87731093,0.25445896,0.25445896,axa-output-1-to-71
139,139,3,43 ,0.0201680599999999,0.00832345,0.0001678678390069,3,5.595594633566654e-05,0.86890757,0.278834725,2.423040926538864,h,0.85882354,0.8789916,0.274673,0.274673,axa-output-1-to-71
140,140,3,43 ,0.0184873999999999,0.00832343,0.0001538785797819,3,5.129285992733327e-05,0.8697479,0.299048755,2.221127588025596,h,0.8605042,0.8789916,0.29488704,0.29488704,axa-output-1-to-71
141,141,3,43 ,0.0184873999999999,0.0083233999999999,0.0001538780251599,3,5.129267505333302e-05,0.8697479,0.32045184,2.221135593627601,h,0.8605042,0.8789916,0.31629014,0.31629014,axa-output-1-to-71
142,142,3,.43 ,0.0184873899999999,0.0071343999999999,0.0001318964352159,4,3.297410880399992e-05,0.868067235,0.3412604,2.5913027023996453,h,0.85882354,0.87731093,0.3376932,0.3376932,axa-output-1-to-71
143,143,3,.44 ,0.0184873899999999,0.0071343499999999,0.0001318955108464,4,3.2973877711624786e-05,0.868067235,0.362663495,2.591320863148024,h,0.85882354,0.87731093,0.35909632,0.35909632,axa-output-1-to-71
144,144,3,45 ,0.0184873899999999,0.00594532,0.0001099134495148,3,3.663781650493351e-05,0.868067235,0.38347206,3.1095702165736907,h,0.85882354,0.87731093,0.3804994,0.3804994,axa-output-1-to-71
145,145,3,47 ,0.0168067299999999,0.00713436,0.0001199052622428,3,3.996842074760002e-05,0.868907565,0.40428062,2.355744593768744,h,0.8605042,0.87731093,0.40071344,0.40071344,axa-output-1-to-71
146,146,3,47 ,0.0201680599999999,0.00713438,0.0001438866039028,3,4.796220130093352e-05,0.86890757,0.42449465,2.826883345153999,h,0.85882354,0.8789916,0.42092746,0.42092746,axa-output-1-to-71
147,147,3,50 ,0.0184873999999999,0.0083234199999999,0.0001538783949079,3,5.12927983026663e-05,0.8697479,0.44530321,2.221130256553195,h,0.8605042,0.8789916,0.4411415,0.4411415,axa-output-1-to-71
148,148,3,50 ,0.0168067299999999,0.00832342,0.0001398894726166,3,4.662982420553346e-05,0.868907565,0.4667063099999999,2.019209651801776,h,0.8605042,0.87731093,0.4625446,0.4625446,axa-output-1-to-71
149,149,3,50 ,0.0184873999999999,0.0083234,0.00015387802516,3,5.129267505333336e-05,0.8697479,0.4881094,2.221135593627586,h,0.8605042,0.8789916,0.4839477,0.4839477,axa-output-1-to-71
150,150,3,51 ,0.0184873899999999,0.0083234499999998,0.0001538788662954,3,5.129295543183269e-05,0.868067235,0.5083234249999999,2.2211210495648097,h,0.85882354,0.87731093,0.5041617,0.5041617,axa-output-1-to-71
151,151,3,53 ,0.0168067299999999,0.0071343699999999,0.00011990543031,3,3.996847677003301e-05,0.868907565,0.529131985,2.355741291802937,h,0.8605042,0.87731093,0.5255648,0.5255648,axa-output-1-to-71
152,152,3,54 ,0.0184873999999999,0.0083234399999999,0.0001538787646559,3,5.129292155199956e-05,0.8697479,0.54994052,2.221124919504438,h,0.8605042,0.8789916,0.5457788,0.5457788,axa-output-1-to-71
153,153,3,54 ,0.0168067299999999,0.0083234599999999,0.0001398901448857,3,4.663004829526636e-05,0.868907565,0.57134367,2.0191999480985183,h,0.8605042,0.87731093,0.56718194,0.56718194,axa-output-1-to-71
154,154,3,54 ,0.0168067299999999,0.00832343,0.0001398896406839,3,4.662988022796676e-05,0.868907565,0.5915576849999999,2.0192072258672145,h,0.8605042,0.87731093,0.58739597,0.58739597,axa-output-1-to-71
155,155,3,54 ,0.0168067299999999,0.00713436,0.0001199052622428,3,3.996842074760002e-05,0.868907565,0.61236622,2.355744593768744,h,0.8605042,0.87731093,0.60879904,0.60879904,axa-output-1-to-71
156,156,3,54 ,0.0168067299999999,0.0083234399999999,0.0001398898087511,3,4.662993625039976e-05,0.868907565,0.63317478,2.019204799938496,h,0.8605042,0.87731093,0.62901306,0.62901306,axa-output-1-to-71
157,157,3,54 ,0.0168067299999999,0.0071343,0.000119904253839,3,3.9968084613000194e-05,0.868907565,0.6539833500000001,2.3557644057580847,h,0.8605042,0.87731093,0.6504162,0.6504162,axa-output-1-to-71
158,158,3,55 ,0.0168067299999999,0.0071343799999999,0.0001199055983773,3,3.996853279246663e-05,0.868907565,0.6753864599999999,2.3557379898463497,h,0.8605042,0.87731093,0.67181927,0.67181927,axa-output-1-to-71
159,159,3,55 ,0.0168067299999999,0.00713437,0.0001199054303101,3,3.996847677003363e-05,0.868907565,0.6956004849999999,2.3557412918029006,h,0.8605042,0.87731093,0.6920333,0.6920333,axa-output-1-to-71
160,160,3,56 ,0.0184873999999999,0.0071343699999999,0.0001318959519379,3,4.396531731266617e-05,0.8697479,0.717003555,2.591315000483585,h,0.8605042,0.8789916,0.71343637,0.71343637,axa-output-1-to-71
161,161,3,57 ,0.0168067299999999,0.00832335,0.0001398882961455,3,4.6629432048500326e-05,0.868907565,0.737812125,2.0192266335069253,h,0.8605042,0.87731093,0.73365045,0.73365045,axa-output-1-to-71
162,162,3,58 ,0.0184873999999999,0.00832343,0.0001538785797819,3,5.129285992733327e-05,0.8697479,0.7580261850000001,2.221127588025596,h,0.8605042,0.8789916,0.75386447,0.75386447,axa-output-1-to-71
163,163,3,58 ,0.0184873999999999,0.00832346,0.000153879134404,3,5.129304480133351e-05,0.8697479,0.7794292700000001,2.2211195824812995,h,0.8605042,0.8789916,0.77526754,0.77526754,axa-output-1-to-71
164,164,3,58 ,0.0184873999999999,0.00832345,0.0001538789495299,3,5.129298317666653e-05,0.8697479,0.800832325,2.221122250989663,h,0.8605042,0.8789916,0.7966706,0.7966706,axa-output-1-to-71
165,165,3,59 ,0.0184873999999999,0.0083234299999999,0.0001538785797819,3,5.1292859927332585e-05,0.8697479,0.821046355,2.2211275880256256,h,0.8605042,0.8789916,0.81688464,0.81688464,axa-output-1-to-71
166,166,3,.60 ,0.0184873899999999,0.0071343999999999,0.0001318964352159,4,3.297410880399992e-05,0.868067235,0.843044,2.5913027023996453,h,0.85882354,0.87731093,0.8394768,0.8394768,axa-output-1-to-71
167,167,3,60 ,0.0184873999999999,0.0083233999999999,0.0001538780251599,3,5.129267505333302e-05,0.8697479,0.8626635,2.221135593627601,h,0.8605042,0.8789916,0.8585018,0.8585018,axa-output-1-to-71
168,168,3,60 ,0.0184873999999999,0.0095124999999999,0.0001758613924999,3,5.8620464166665984e-05,0.8697479,0.88347205,1.9434848883048703,h,0.8605042,0.87731093,0.87990487,0.8787158,axa-output-1-to-71
169,169,3,61 ,0.0168067299999999,0.0083233999999999,0.0001398891364819,3,4.6629712160666535e-05,0.868907565,0.9042806,2.0192145036884,h,0.8605042,0.87731093,0.9001189,0.9001189,axa-output-1-to-71
190,190,4,61 ,0.0168067299999999,0.0083234249999999,0.0001398895566502,3,4.662985221674995e-05,0.868907565,0.0909631375,2.0192084388337737,h,0.8605042,0.87731093,0.086801425,0.086801425,axa-output-1-to-71
191,191,4,61 ,0.0168067299999999,0.0083234239999999,0.0001398895398435,3,4.662984661450663e-05,0.868907565,0.111177172,2.019208681427259,h,0.8605042,0.87731093,0.10701546,0.10701546,axa-output-1-to-71
192,192,4,62 ,0.0184873999999999,0.00832343,0.0001538785797819,3,5.129285992733327e-05,0.8697479,0.132580265,2.221127588025596,h,0.8605042,0.8789916,0.12841855,0.12841855,axa-output-1-to-71
193,193,4,62 ,0.0168067299999999,0.00713436,0.0001199052622428,3,3.996842074760002e-05,0.868907565,0.15338882,2.355744593768744,h,0.8605042,0.87731093,0.14982164,0.14982164,axa-output-1-to-71
194,194,4,63 ,0.0184873899999999,0.00832341,0.0001538781267998,3,5.129270893329999e-05,0.868067235,0.1741973849999999,2.221131723656528,h,0.85882354,0.87731093,0.17003568,0.17003568,axa-output-1-to-71
195,195,4,.63 ,0.0201680599999999,0.0071343699999999,0.0001438864022221,4,3.5971600555549746e-05,0.86890757,0.195005945,2.826887307498771,h,0.85882354,0.8789916,0.19143876,0.19143876,axa-output-1-to-71
196,196,4,.64 ,0.0201680599999999,0.00713437,0.0001438864022221,4,3.597160055554988e-05,0.86890757,0.216409035,2.82688730749876,h,0.85882354,0.8789916,0.21284185,0.21284185,axa-output-1-to-71
197,197,4,.65 ,0.0184873899999999,0.00713436,0.0001318956957204,4,3.2973923930100014e-05,0.868067235,0.23662307,2.591317230977968,h,0.85882354,0.87731093,0.23305589,0.23305589,axa-output-1-to-71
198,198,4,65 ,0.0184873999999999,0.0095125,0.0001758613925,3,5.862046416666667e-05,0.8697479,0.25802615,1.943484888304848,h,0.8605042,0.8789916,0.2532699,0.2532699,axa-output-1-to-71
199,199,4,65 ,0.0184873999999999,0.00832345,0.0001538789495299,3,5.129298317666653e-05,0.8697479,0.278834725,2.221122250989663,h,0.8605042,0.8789916,0.274673,0.274673,axa-output-1-to-71
200,200,4,65 ,0.0184873999999999,0.0095124799999999,0.0001758610227519,3,5.862034091733305e-05,0.8697479,0.2996432799999999,1.943488974484041,h,0.8605042,0.8789916,0.29488704,0.29488704,axa-output-1-to-71
201,201,4,66 ,0.0168067299999999,0.0083233999999999,0.0001398891364819,3,4.6629712160666535e-05,0.868907565,0.32045184,2.0192145036884,h,0.8605042,0.87731093,0.31629014,0.31629014,axa-output-1-to-71
202,202,4,67 ,0.0168067299999999,0.00832344,0.0001398898087512,3,4.662993625040006e-05,0.868907565,0.34066588,2.0192047999384823,h,0.8605042,0.87731093,0.33650416,0.33650416,axa-output-1-to-71
